County,Workforce Development Area,Female,Male,Percent Female,Percent Male
Lincoln,Northeast,"5,602","6,149",47.7%,52.3%
Linn,Northwest,"2,024","1,691",54.5%,45.5%
Livingston,Northwest,"3,107","3,077",50.2%,49.8%
McDonald,Southwest,"3,081","3,972",43.7%,56.3%
Macon,Northeast,"2,551","2,292",52.7%,47.3%
Madison,Southeast,"1,949","1,583",55.2%,44.8%
Maries,Central,648,574,53.0%,47.0%
Marion,Northeast,"7,386","5,592",56.9%,43.1%
Mercer,Northwest,622,907,40.7%,59.3%
Miller,Central,"3,201","3,371",48.7%,51.3%
Mississippi,Southeast,"1,718","1,645",51.1%,48.9%
Moniteau,Central,"1,767","2,088",45.8%,54.2%
Monroe,Northeast,927,790,54.0%,46.0%
Montgomery,Northeast,"1,341","1,611",45.4%,54.6%
Morgan,Central,"2,160","2,195",49.6%,50.4%
New Madrid,Southeast,"3,343","3,484",49.0%,51.0%
Newton,Southwest,"11,898","10,078",54.1%,45.9%
Nodaway,Northwest,"3,509","3,575",49.5%,50.5%
Oregon,South Central,"1,202",922,56.6%,43.4%
Osage,Central,"1,530","2,374",39.2%,60.8%
Ozark,South Central,798,623,56.2%,43.8%
Pemiscot,Southeast,"3,175","1,939",62.1%,37.9%
Perry,Southeast,"4,264","5,290",44.6%,55.4%
Pettis,West Central,"9,171","9,435",49.3%,50.7%
Phelps,Central,"9,248","7,598",54.9%,45.1%
Pike,Northeast,"2,955","2,439",54.8%,45.2%
Platte,Kansas City,"23,872","24,396",49.5%,50.5%
Polk,Ozark,"4,682","3,466",57.5%,42.5%
Pulaski,Central,"5,489","4,205",56.6%,43.4%
Putnam,Northwest,512,357,58.9%,41.1%
Ralls,Northeast,"1,308","2,349",35.8%,64.2%
Randolph,Northeast,"4,746","4,543",51.1%,48.9%
Ray,Kansas City,"2,161","1,781",54.8%,45.2%
Reynolds,South Central,881,933,48.6%,51.4%
Ripley,South Central,"1,628",952,63.1%,36.9%
St. Charles,Saint Charles,"74,003","74,760",49.7%,50.3%
St. Clair,West Central,954,649,59.5%,40.5%
Ste. Genevieve,Southeast,"2,579","3,370",43.4%,56.6%
St. Francois,Southeast,"13,042","10,625",55.1%,44.9%
St. Louis county,Saint Louis County,"326,604","308,405",51.4%,48.6%
Saline,West Central,"4,713","4,240",52.6%,47.4%
Schuyler,Northeast,355,253,58.3%,41.7%
Scotland,Northeast,633,483,56.7%,43.3%
Scott,Southeast,"7,799","7,598",50.7%,49.3%
Shannon,South Central,715,613,53.9%,46.1%
Shelby,Northeast,900,823,52.2%,47.8%
Stoddard,Southeast,"4,682","5,134",47.7%,52.3%
Stone,Ozark,"3,349","3,372",49.8%,50.2%
Sullivan,Northwest,"1,067","1,201",47.1%,52.9%
Taney,Ozark,"14,712","12,794",53.5%,46.5%
Texas,South Central,"2,745","2,444",52.9%,47.1%
Vernon,West Central,"3,516","3,113",53.0%,47.0%
Warren,Northeast,"3,263","4,114",44.2%,55.8%
Washington,Central,"2,609","2,164",54.7%,45.3%
Wayne,South Central,"1,422",930,60.4%,39.6%
Webster,Ozark,"3,424","4,106",45.5%,54.5%
Worth,Northwest,205,120,63.1%,36.9%
Wright,South Central,"2,086","1,860",52.9%,47.1%
St. Louis city,Saint Louis City,"111,195","109,198",50.5%,49.5%
Notes:,,,,,
"* Disability data provided for all civilian non-institutionalized population, ages 18-64",,,,,
Sources:,,,,,
"U.S. Census, American Community Survey, Disability Characteristics 2014 - 2018, census.gov",,,,,
"U.S. Census, Longitudinal Employer-Household Dynamics 2017 Annual Average, lehd.ces.census.gov",,,,,
,,,,,
