County,Workforce Development Area,Hispanic or Latino,Not Hispanic or Latino,Total,Percent of population with a disability
Mercer,Northwest,83,"1,446","1,530",9.0%
Miller,Central,153,"6,419","6,572",12.8%
Mississippi,Southeast,100,"3,263","3,363",15.3%
Moniteau,Central,272,"3,583","3,855",9.7%
Monroe,Northeast,39,"1,678","1,717",13.8%
Montgomery,Northeast,66,"2,886","2,951",13.9%
Morgan,Central,105,"4,250","4,356",13.9%
New Madrid,Southeast,129,"6,697","6,826",18.3%
Newton,Southwest,"1,043","20,933","21,976",10.9%
Nodaway,Northwest,147,"6,937","7,084",8.8%
Oregon,South Central,40,"2,083","2,124",16.5%
Osage,Central,55,"3,849","3,904",10.0%
Ozark,South Central,19,"1,401","1,420",17.3%
Pemiscot,Southeast,133,"4,981","5,114",20.1%
Perry,Southeast,266,"9,288","9,554",13.1%
Pettis,West Central,"1,303","17,303","18,605",13.3%
Phelps,Central,425,"16,420","16,846",12.5%
Pike,Northeast,115,"5,279","5,394",10.7%
Platte,Kansas City,"3,423","44,846","48,269",9.0%
Polk,Ozark,210,"7,938","8,148",13.1%
Pulaski,Central,518,"9,177","9,694",17.9%
Putnam,Northwest,13,856,868,11.8%
Ralls,Northeast,65,"3,592","3,657",9.9%
Randolph,Northeast,192,"9,098","9,290",13.5%
Ray,Kansas City,117,"3,825","3,942",11.1%
Reynolds,South Central,31,"1,783","1,814",18.3%
Ripley,South Central,45,"2,535","2,580",22.7%
St. Charles,Saint Charles,"5,001","143,763","148,764",7.4%
St. Clair,West Central,30,"1,573","1,603",16.3%
Ste. Genevieve,Southeast,76,"5,873","5,949",13.1%
St. Francois,Southeast,418,"23,249","23,667",17.5%
St. Louis county,Saint Louis County,"18,394","616,615","635,008",8.7%
Saline,West Central,893,"8,060","8,953",13.2%
Schuyler,Northeast,6,602,608,12.9%
Scotland,Northeast,12,"1,104","1,116",11.4%
Scott,Southeast,321,"15,076","15,397",14.8%
Shannon,South Central,25,"1,303","1,328",19.9%
Shelby,Northeast,25,"1,697","1,722",11.7%
Stoddard,Southeast,231,"9,585","9,816",17.1%
Stone,Ozark,206,"6,515","6,721",14.0%
Sullivan,Northwest,382,"1,886","2,268",10.4%
Taney,Ozark,"1,712","25,795","27,506",13.5%
Texas,South Central,110,"5,079","5,188",19.1%
Vernon,West Central,161,"6,468","6,629",14.2%
Warren,Northeast,209,"7,169","7,377",11.3%
Washington,Central,63,"4,710","4,772",20.3%
Wayne,South Central,45,"2,307","2,352",21.6%
Webster,Ozark,193,"7,336","7,529",12.1%
Worth,Northwest,4,321,325,10.2%
Wright,South Central,73,"3,873","3,946",16.6%
St. Louis city,Saint Louis City,"6,600","213,792","220,392",12.0%
Notes:,,,,,
"* Disability data provided for all civilian non-institutionalized population, ages 18-64",,,,,
Sources:,,,,,
"U.S. Census, American Community Survey, Disability Characteristics 2014 - 2018, census.gov",,,,,
"U.S. Census, Longitudinal Employer-Household Dynamics 2017 Annual Average, lehd.ces.census.gov",,,,,
,,,,,
