County,Workforce Development Area,Less than high school,"High school or equivalent, no college",Some college or Associate degree,Bachelor's degree or advanced degree,All Education Categories,Percent of Workforce with some college or higher,Percent of Workforce with bachelor's degree or advanced degree,Educational attainment not available (workers aged 24 or younger)
St. Charles,Saint Charles,"14,868","38,301","40,107","30,813","124,089",57.20%,24.80%,"24,675"
St. Clair,West Central,167,544,431,246,"1,387",48.80%,17.70%,216
Ste. Genevieve,Southeast,582,"1,972","1,664",914,"5,132",50.20%,17.80%,817
St. Francois,Southeast,"2,519","7,154","6,785","3,625","20,084",51.80%,18.10%,"3,584"
St. Louis county,Saint Louis County,"63,089","156,882","179,819","157,265","557,054",60.50%,28.20%,"77,955"
Saline,West Central,"1,206","2,640","2,371","1,566","7,782",50.60%,20.10%,"1,170"
Schuyler,Northeast,52,192,170,107,521,53.10%,20.40%,87
Scotland,Northeast,96,344,315,188,942,53.30%,19.90%,174
Scott,Southeast,"1,808","4,920","4,254","2,444","13,425",49.90%,18.20%,"1,972"
Shannon,South Central,151,454,367,190,"1,163",47.90%,16.30%,166
Shelby,Northeast,159,574,476,274,"1,483",50.60%,18.50%,240
Stoddard,Southeast,"1,194","3,287","2,599","1,386","8,464",47.10%,16.40%,"1,351"
Stone,Ozark,719,"2,080","1,865","1,060","5,723",51.10%,18.50%,998
Sullivan,Northwest,356,670,608,364,"1,998",48.60%,18.20%,270
Taney,Ozark,"3,121","7,689","7,310","4,227","22,347",51.60%,18.90%,"5,160"
Texas,South Central,535,"1,715","1,457",789,"4,495",49.90%,17.50%,692
Vernon,West Central,672,"2,090","1,917","1,086","5,764",52.10%,18.80%,866
Warren,Northeast,827,"2,226","2,022","1,133","6,207",50.80%,18.30%,"1,170"
Washington,Central,542,"1,522","1,361",716,"4,140",50.20%,17.30%,632
Wayne,South Central,299,773,642,327,"2,041",47.50%,16.00%,311
Webster,Ozark,824,"2,307","2,014","1,192","6,337",50.60%,18.80%,"1,193"
Worth,Northwest,29,103,87,62,281,53.00%,22.10%,44
Wright,South Central,436,"1,330","1,038",558,"3,361",47.50%,16.60%,585
St. Louis city,Saint Louis City,"24,576","55,923","63,516","55,816","199,830",59.70%,27.90%,"20,562"
Notes:,,,,,,,,,
"* Disability data provided for all civilian non-institutionalized population, ages 18-64",,,,,,,,,
Sources:,,,,,,,,,
"U.S. Census, American Community Survey, Disability Characteristics 2014 - 2018, census.gov",,,,,,,,,
"U.S. Census, Longitudinal Employer-Household Dynamics 2017 Annual Average, lehd.ces.census.gov",,,,,,,,,
