County,Workforce Development Area,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,Two or More Race Groups,White Alone,Total
Monroe,Northeast,7,13,79,0,17,"1,600","1,715"
Montgomery,Northeast,8,28,105,0,32,"2,778","2,951"
Morgan,Central,17,28,91,5,57,"4,158","4,357"
New Madrid,Southeast,24,41,"1,092",3,56,"5,611","6,827"
Newton,Southwest,487,321,508,91,520,"20,049","21,976"
Nodaway,Northwest,20,90,164,4,62,"6,744","7,083"
Oregon,South Central,31,10,23,0,28,"2,031","2,122"
Osage,Central,11,13,59,3,39,"3,779","3,905"
Ozark,South Central,11,8,8,0,13,"1,380","1,420"
Pemiscot,Southeast,18,36,"1,122",0,73,"3,864","5,113"
Perry,Southeast,26,86,269,5,75,"9,093","9,554"
Pettis,West Central,120,207,809,42,274,"17,154","18,605"
Phelps,Central,100,324,621,20,246,"15,535","16,846"
Pike,Northeast,13,31,245,0,71,"5,034","5,392"
Platte,Kansas City,314,"1,369","6,036",235,994,"39,321","48,269"
Polk,Ozark,45,72,147,3,104,"7,778","8,148"
Pulaski,Central,79,284,871,50,298,"8,113","9,694"
Putnam,Northwest,6,5,4,0,5,849,869
Ralls,Northeast,7,36,140,6,35,"3,433","3,657"
Randolph,Northeast,37,76,449,5,133,"8,590","9,290"
Ray,Kansas City,18,43,125,5,50,"3,701","3,942"
Reynolds,South Central,10,7,16,2,23,"1,757","1,813"
Ripley,South Central,11,12,47,0,25,"2,485","2,580"
St. Charles,Saint Charles,522,"3,535","17,882",118,"2,246","124,462","148,764"
St. Clair,West Central,10,10,15,0,24,"1,543","1,601"
Ste. Genevieve,Southeast,18,41,85,0,46,"5,759","5,948"
St. Francois,Southeast,74,204,902,14,248,"22,225","23,667"
St. Louis county,Saint Louis County,"1,922","18,505","118,636",509,"9,329","486,108","635,008"
Saline,West Central,57,117,448,59,141,"8,132","8,953"
Schuyler,Northeast,3,3,4,0,3,596,609
Scotland,Northeast,3,9,6,0,7,"1,096","1,121"
Scott,Southeast,41,98,"1,974",11,164,"13,109","15,397"
Shannon,South Central,13,6,12,0,21,"1,277","1,328"
Shelby,Northeast,4,5,33,0,10,"1,671","1,722"
Stoddard,Southeast,40,49,686,10,72,"8,959","9,816"
Stone,Ozark,42,48,95,4,106,"6,426","6,720"
Sullivan,Northwest,17,45,225,9,18,"1,954","2,268"
Taney,Ozark,252,485,950,42,468,"25,310","27,506"
Texas,South Central,38,25,60,3,61,"5,001","5,188"
Vernon,West Central,46,60,132,5,94,"6,293","6,629"
Warren,Northeast,30,72,433,4,100,"6,738","7,377"
Washington,Central,20,21,121,0,40,"4,569","4,771"
Wayne,South Central,11,10,44,0,30,"2,256","2,350"
Webster,Ozark,59,99,167,8,103,"7,095","7,530"
Worth,Northwest,0,0,5,0,0,317,322
Wright,South Central,27,18,40,2,43,"3,818","3,947"
St. Louis city,Saint Louis City,649,"7,454","60,716",170,"3,404","148,001","220,393"
Notes:,,,,,,,,
"* Disability data provided for all civilian non-institutionalized population, ages 18-64",,,,,,,,
Sources:,,,,,,,,
"U.S. Census, American Community Survey, Disability Characteristics 2014 - 2018, census.gov",,,,,,,,
"U.S. Census, Longitudinal Employer-Household Dynamics 2017 Annual Average, lehd.ces.census.gov",,,,,,,,
,,,,,,,,
